District,District Latitude,District Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Brixton ,51.4626818,-0.1147325,Ritzy Cinema,51.46115325214217,-0.11501312255859375,Indie Movie Theater
Brixton ,51.4626818,-0.1147325,Okan,51.462509823947784,-0.11179504195325424,Okonomiyaki Restaurant
Brixton ,51.4626818,-0.1147325,London Beer Lab,51.46336344858991,-0.11636168897684258,Brewery
Brixton ,51.4626818,-0.1147325,Ms. Cupcake,51.46172294609455,-0.1132192586655686,Cupcake Shop
Brixton ,51.4626818,-0.1147325,Franco Manca,51.46204894979302,-0.11372862926493466,Pizza Place
Brixton ,51.4626818,-0.1147325,Three Eight Four,51.461845109286564,-0.11217110773441334,Cocktail Bar
Brixton ,51.4626818,-0.1147325,Honest Burgers,51.4623299,-0.1121115,Burger Joint
Brixton ,51.4626818,-0.1147325,Koi Ramen Noodle Bar,51.46347857800001,-0.11235904547194676,Ramen Restaurant
Brixton ,51.4626818,-0.1147325,Phonox,51.464447416105074,-0.114420103826105,Nightclub
Brixton ,51.4626818,-0.1147325,Market Row,51.46201375653569,-0.11360995034607098,Market
Brixton ,51.4626818,-0.1147325,David Bowie mural,51.46266393516455,-0.11540472507476807,Street Art
Brixton ,51.4626818,-0.1147325,"Fish, Wings & Tings",51.462087367289755,-0.11152854737610098,Caribbean Restaurant
Brixton ,51.4626818,-0.1147325,The Craft Beer Co.,51.46338517478203,-0.1140363522577955,Beer Bar
Brixton ,51.4626818,-0.1147325,Fierce Grace Brixton,51.46225239598031,-0.11092018451294972,Yoga Studio
Brixton ,51.4626818,-0.1147325,Ghost Whale,51.46095942575821,-0.11117470941616318,Beer Store
Brixton ,51.4626818,-0.1147325,Kricket,51.462492,-0.112637,Indian Restaurant
Brixton ,51.4626818,-0.1147325,Upstairs At The Department Store,51.46418376953569,-0.11556587701660441,Restaurant
Brixton ,51.4626818,-0.1147325,Mama Lan,51.462523456612985,-0.11227912704606108,Dumpling Restaurant
Brixton ,51.4626818,-0.1147325,San Marino,51.463556392972265,-0.11457449633162292,Café
Brixton ,51.4626818,-0.1147325,Federation Coffee,51.46241288833468,-0.1117200585980071,Coffee Shop
Brixton ,51.4626818,-0.1147325,Eat Of Eden,51.46212,-0.11176463,Vegetarian / Vegan Restaurant
Brixton ,51.4626818,-0.1147325,Chicken Shop/Dirty Burger,51.461746,-0.116313,New American Restaurant
Brixton ,51.4626818,-0.1147325,The New Zealand Wine Cellar,51.46341847819986,-0.11249647570643931,Wine Bar
Brixton ,51.4626818,-0.1147325,Seven at Brixton,51.46203893600984,-0.11359096631962734,Tapas Restaurant
Brixton ,51.4626818,-0.1147325,The Joint,51.462316410115676,-0.11165321388594093,BBQ Joint
Brixton ,51.4626818,-0.1147325,Baba G's,51.46347481755735,-0.11235810045205079,Indian Restaurant
Brixton ,51.4626818,-0.1147325,Upstairs at the Ritzy,51.46118667487387,-0.11512041091918945,Jazz Club
Brixton ,51.4626818,-0.1147325,Agile Rabbit,51.46255588247296,-0.11236629522129181,Pizza Place
Brixton ,51.4626818,-0.1147325,Rum Kitchen,51.461583365090306,-0.11388995891057034,Caribbean Restaurant
Brixton ,51.4626818,-0.1147325,El Rancho De Lalo,51.46218679732579,-0.11165015452108477,Latin American Restaurant
Brixton ,51.4626818,-0.1147325,Carioca,51.46211135603864,-0.11285376534287013,Brazilian Restaurant
Brixton ,51.4626818,-0.1147325,Asmara,51.46183081042343,-0.11222940401708825,African Restaurant
Brixton ,51.4626818,-0.1147325,Bamboula,51.461013667426755,-0.11655780613233005,Caribbean Restaurant
Brixton ,51.4626818,-0.1147325,Book Mongers,51.461561403074754,-0.11383936332690422,Bookstore
Brixton ,51.4626818,-0.1147325,Mamma Dough,51.46267624890556,-0.10921022677054577,Pizza Place
Brixton ,51.4626818,-0.1147325,Champagne + Fromage,51.462301534960744,-0.11189124566456882,Champagne Bar
Brixton ,51.4626818,-0.1147325,DW Fitness First,51.46459795169641,-0.115210293023479,Gym / Fitness Center
Brixton ,51.4626818,-0.1147325,Restaurante Santafereño,51.462486713522686,-0.11194562974776895,South American Restaurant
Brixton ,51.4626818,-0.1147325,O2 Academy,51.46558844287327,-0.11490439427876127,Music Venue
Brixton ,51.4626818,-0.1147325,Parissi,51.46086484927744,-0.11107165015813722,Coffee Shop
Brixton ,51.4626818,-0.1147325,Trinity Arms,51.46173950821622,-0.11928358978691707,Pub
Brixton ,51.4626818,-0.1147325,The Effra,51.460040086975,-0.11302546848589592,Pub
Brixton ,51.4626818,-0.1147325,Salon,51.46196584027072,-0.11326129921555636,Restaurant
Brixton ,51.4626818,-0.1147325,Courtesan Dim Sum,51.46115994755113,-0.11122012921135563,Dim Sum Restaurant
Brixton ,51.4626818,-0.1147325,Brixton Wholefoods,51.461547638816484,-0.11127948760986328,Grocery Store
Brixton ,51.4626818,-0.1147325,The Wine Parlour,51.461466314889485,-0.11146101737013785,Winery
Brixton ,51.4626818,-0.1147325,Halo Burger,51.46346,-0.11240803,Burger Joint
Brixton ,51.4626818,-0.1147325,Prima Donna,51.462095294244655,-0.1128155862212294,Brazilian Restaurant
Brixton ,51.4626818,-0.1147325,Nanban,51.46156259191805,-0.11394156577397357,Japanese Restaurant
Brixton ,51.4626818,-0.1147325,Sponge and Cream Bakery,51.46259273891247,-0.11249341727123316,Cupcake Shop
Brixton ,51.4626818,-0.1147325,Kaosarn,51.46215165548201,-0.11149282050182753,Thai Restaurant
Brixton ,51.4626818,-0.1147325,Brixton Brewery,51.46362129560617,-0.10930867890594644,Brewery
Brixton ,51.4626818,-0.1147325,Gremio de Brixton,51.45985792818611,-0.11603766032885382,Tapas Restaurant
Brixton ,51.4626818,-0.1147325,Pret A Manger,51.4630530959274,-0.1145677171792947,Sandwich Place
Brixton ,51.4626818,-0.1147325,Kamome,51.461809,-0.113241,Japanese Restaurant
Brixton ,51.4626818,-0.1147325,Marks & Spencer,51.4632940095964,-0.115090584568867,Department Store
Brixton ,51.4626818,-0.1147325,Caya,51.462806784636705,-0.10873889061948705,Coffee Shop
Brixton ,51.4626818,-0.1147325,BrewDog Brixton,51.46161929649874,-0.11330308907333976,Beer Bar
Brixton ,51.4626818,-0.1147325,The Shrub and Shutter,51.46284119773519,-0.10845787521790404,Cocktail Bar
Brixton ,51.4626818,-0.1147325,Windrush Square,51.460737537701654,-0.11529360111340722,Plaza
Brixton ,51.4626818,-0.1147325,Made of Dough,51.46335682356901,-0.1123641816759552,Pizza Place
Brixton ,51.4626818,-0.1147325,Mama's Jerk,51.463486,-0.112227,Caribbean Restaurant
Brixton ,51.4626818,-0.1147325,Barrio Brixton,51.4606582873966,-0.11829474525408244,Cocktail Bar
Brixton ,51.4626818,-0.1147325,The Duke of Edinburgh,51.46324987278245,-0.12003086202091641,Pub
Brixton ,51.4626818,-0.1147325,Electric Brixton,51.4601547818653,-0.11654054811424354,Nightclub
Brixton ,51.4626818,-0.1147325,Photofusion,51.46190990610459,-0.11397783330044815,Art Gallery
Brixton ,51.4626818,-0.1147325,Brixton Port Authority,51.46340455730116,-0.11234025686629105,Beer Bar
Brixton ,51.4626818,-0.1147325,Phoenix Café,51.46155357941846,-0.11403610660878459,Diner
Brixton ,51.4626818,-0.1147325,Premier Inn London Brixton,51.4615504,-0.114636,Hotel
Brixton ,51.4626818,-0.1147325,The Blues Kitchen,51.4603134069692,-0.120438915385768,BBQ Joint
Brixton ,51.4626818,-0.1147325,Brixton Yard,51.462765931814275,-0.11361674277898265,Food Court
Brixton ,51.4626818,-0.1147325,Market House,51.46151219999999,-0.1136553,Pub
Brixton ,51.4626818,-0.1147325,Duck Duck Goose,51.462715,-0.112497,Cantonese Restaurant
Brixton ,51.4626818,-0.1147325,Chillbox Frozen Yogurt,51.46201985403715,-0.11348598905927518,Frozen Yogurt Shop
